mql_id,seller_id,sdr_id,sr_id,won_date,business_segment,lead_type,lead_behaviour_profile,has_company,has_gtin,average_stock,business_type,declared_product_catalog_size,declared_monthly_revenue
bae38661a27f6228ba38c36e766ed769,6a6b1614baaaf766293c17d8cb8c5a9d,f42a2bd194f7802ab052a815c8de65b7,495d4e95a8cf8bbf8b432b612a2aa328,2018-09-10 14:18:01,stationery,industry,cat,,,,reseller,2000.0,100000.0
a8d2884db49e0769ad4a0b8dce2e143c,d65f74c704563bcb8baa915fbf8cfa1e,6aa3b86a83d784b05f0e37e26b20860d,de63de0d10a6012430098db33c679b0b,2018-09-27 12:31:01,health_beauty,online_medium,cat,,False,,reseller,15.0,20000.0
20fcec0873b39b4df3df34140d77d6e7,cee3c487c56d29554a22d112af618301,084b6fbb10729ed4da8c3d3f5a3ae7c9,0a0fb2b07d841f84fb6714e35c723075,2018-11-14 18:04:19,other,other,cat,False,False,,other,120.0,6000.0
a55b94066766f2d29fc22a3bb52d78f6,5181ea7b0d346ed14c5c07f0ff22b2b4,fdb16d3cbbeb5798f2f66c4096be026d,4ef15afb4b2723d8f3d81e51ec7afefe,2018-09-04 14:15:04,toys,online_big,cat,,,,reseller,1000.0,180000.0
58caf27a48e7930aefd5437298d64a70,922f6795c9e65f2485d4e63af76586ff,45749fb708130f78d0db07d8d80f030b,34d40cdaf94010a1d05b0d6212f9e909,2018-09-21 18:18:15,bed_bath_table,online_medium,"cat, wolf",True,True,,reseller,50.0,30000.0
902a621ebb8a96c516d34a58334eb0ee,2aef4c8187ab057d6f1b7e0e636aa481,e7dff61b78bebffa71678e126ce669ad,a8387c01a09e99ce014107505b92388c,2018-08-28 17:09:31,construction_tools_house_garden,online_beginner,,,,,reseller,4.0,6.0
165d6a6256273a3430fa4891413ac2f0,e0cfd7ece071eb006b1670ea64d0904e,f42a2bd194f7802ab052a815c8de65b7,9d12ef1a7eca3ec58c545c678af7869c,2018-09-25 11:55:05,construction_tools_house_garden,offline,cat,,,,reseller,400.0,100000.0
1124225a47b3f07185073f3df3b449bf,faf3ee2764599d114d7e8f25d4c19845,9749123c950bf8363ace42cb1c2d0815,2695de1affa7750089c0455f8ce27021,2018-09-11 19:25:49,home_decor,online_big,wolf,,,,reseller,800.0,100000.0
d768d7e09a6f9ff4146a1659635cf304,f233b575e585413f12fe2f847d922447,282f16e20d50cb18d05182e80f6b9dd6,d3d1e91a157ea7f90548eef82f1955e3,2018-10-30 18:21:05,household_utilities,online_big,wolf,True,False,,reseller,100.0,150000.0
e73083572cc595460842f5090da94662,facd538cb53fa082bffaeee65521020a,370c9f455f93a9a96cbe9bea48e70033,34d40cdaf94010a1d05b0d6212f9e909,2018-09-17 12:03:18,car_accessories,offline,eagle,,,,reseller,50.0,10000.0
288ba9abad93ef50e6a76089ae84aab3,a8fee0ab6206634206f782c32e41a2a4,e7dff61b78bebffa71678e126ce669ad,4b339f9567d060bcea4f5136b9f5949e,2018-08-23 12:46:40,health_beauty,online_medium,cat,True,True,,reseller,300.0,25000.0
6a10f542e6f79265c34a405dbc928e37,6fcc97197c64771f3c18aea3aa9d3913,2b63542749aa9caf15f21816da1db341,4ef15afb4b2723d8f3d81e51ec7afefe,2018-10-24 19:33:34,construction_tools_house_garden,industry,cat,,,,manufacturer,10.0,50000000.0
8cfebc3e119ed2fe0dd172eb59b0a595,40105cb0aec41563d24ccc7b90ae7083,370c9f455f93a9a96cbe9bea48e70033,85fc447d336637ba1df43e793199fbc8,2018-08-30 22:00:23,home_decor,industry,cat,True,True,,manufacturer,40.0,100000.0
0e327f32dbb22d433600688b7e9af0db,cee4320453079d554562dee0753d7d43,b34f6eba10f46bf9a657a01c108a8284,068066e24f0c643eb1d089c7dd20cd73,2018-08-21 21:07:30,health_beauty,online_medium,shark,True,True,,reseller,500.0,30000.0
6d78dcbeb39103c047f486abd2519ee4,366b6b05f39997f102dc5179de14d43c,e7dff61b78bebffa71678e126ce669ad,9749123c950bf8363ace42cb1c2d0815,2018-10-01 12:27:47,health_beauty,online_small,wolf,True,True,,reseller,200.0,210000.0
4fbe9e8a0ace3a44f0a9e1d7fe41da02,9169e322ad3419286d1e5ee8f1c3b3f0,e7dff61b78bebffa71678e126ce669ad,34d40cdaf94010a1d05b0d6212f9e909,2018-11-01 15:36:16,perfume,online_medium,eagle,True,True,,reseller,20.0,15000.0
5290b66ff9e0c1115614365d8e20f10c,ab2a1539d7cdbddcfb6b568447ed767d,9749123c950bf8363ace42cb1c2d0815,495d4e95a8cf8bbf8b432b612a2aa328,2018-08-17 14:41:00,party,online_medium,cat,True,True,,reseller,500.0,20000.0
9b6e0fb52eba76006d3d11ead82fad4d,ceb123995e945aab9f7c259819f70a2e,45749fb708130f78d0db07d8d80f030b,9749123c950bf8363ace42cb1c2d0815,2018-10-10 01:15:56,construction_tools_house_garden,online_medium,wolf,True,False,,reseller,20.0,15000.0
010ed37e44e2fdc175b4c5c6c930805a,8c6d188ef073e289887bc52bc37f3e61,068066e24f0c643eb1d089c7dd20cd73,9749123c950bf8363ace42cb1c2d0815,2018-09-14 14:43:50,audio_video_electronics,online_medium,cat,True,True,,reseller,70.0,250000.0
50523d9bd9d5d9a44bbc2f778954c5ae,9966324e28b7fa38165d2d3d12d53b7f,e7dff61b78bebffa71678e126ce669ad,de63de0d10a6012430098db33c679b0b,2018-09-24 20:45:42,phone_mobile,online_big,shark,True,True,,reseller,45.0,8000000.0
f1a425f699458e09372b5da49c06fd33,3b945b144f631e998d7e484cc48b3783,56bf83c4bb35763a51c2baab501b4c67,068066e24f0c643eb1d089c7dd20cd73,2018-08-20 21:05:48,computers,online_small,,,,,reseller,20.0,40000.0
c5b432382d5978b94676426a32725dff,3cbdc3237aa8afe44324bda4a1ccf676,b34f6eba10f46bf9a657a01c108a8284,a8387c01a09e99ce014107505b92388c,2018-10-03 18:32:49,car_accessories,offline,,,,,reseller,300.0,100000.0
5ee85f64aafcce6b24e3e1171a475ea6,d8887be1427e48581e65fed5faf03bce,33dd30594303eb0ebe12a556d612c437,d3d1e91a157ea7f90548eef82f1955e3,2018-08-21 12:30:34,computers,online_medium,cat,True,True,,reseller,30.0,5000.0
0383bd4aa37e8dd109be3864bc703eda,9fbe791853dbd2e3894d85162a8ff934,45749fb708130f78d0db07d8d80f030b,4b339f9567d060bcea4f5136b9f5949e,2018-10-02 21:25:39,car_accessories,online_medium,cat,True,True,,reseller,75.0,25000.0
3f972cdb5e257034c5ad72bd3b0ed184,a0ed0c00bfd64109d4ea03c97cc12486,0a0fb2b07d841f84fb6714e35c723075,068066e24f0c643eb1d089c7dd20cd73,2018-10-08 17:22:23,home_decor,online_medium,wolf,True,True,,reseller,70.0,30000.0
0dabd1a1be08da96cd6fa993b9afb0a8,a0b6a15b3b776d289bb0eca2d9115eaa,e7dff61b78bebffa71678e126ce669ad,de63de0d10a6012430098db33c679b0b,2018-10-29 16:54:59,toys,online_medium,eagle,True,True,,reseller,100.0,4000.0
b64eccfaa3c560d142a15ca43a0ddc98,3844ab927429de8fcb426e4886024ee9,370c9f455f93a9a96cbe9bea48e70033,068066e24f0c643eb1d089c7dd20cd73,2018-08-22 13:14:44,health_beauty,online_medium,"cat, wolf",True,True,,reseller,50.0,10000.0
30c1778642a506dbd803a0fa5ece533e,157497483bb7876340ea4441c9bd1774,f42a2bd194f7802ab052a815c8de65b7,495d4e95a8cf8bbf8b432b612a2aa328,2018-08-20 17:50:56,pet,industry,wolf,,,,reseller,50.0,300000.0
b39ac02ff5021fed10cb9988a23d5d02,7c7d0dee362960b1d9b01fe7284e19ba,6aa3b86a83d784b05f0e37e26b20860d,56bf83c4bb35763a51c2baab501b4c67,2018-08-23 21:56:01,home_decor,online_small,shark,True,True,,manufacturer,400.0,300000.0
d79c868179307f1cf78d0a12c56e2bf9,25ca84afdd32ede184dba55631c55274,e7dff61b78bebffa71678e126ce669ad,068066e24f0c643eb1d089c7dd20cd73,2018-08-30 12:32:15,computers,online_big,"shark, wolf",True,True,,reseller,47.0,60000.0
2d425507027fe5ccf5e23dc6bf98af4b,34fe2ce0770697c1b8b35c13a8e2f7d4,f42a2bd194f7802ab052a815c8de65b7,de63de0d10a6012430098db33c679b0b,2018-08-17 19:29:47,watches,online_beginner,cat,True,True,,reseller,12.0,1000.0
9af7ea3259a69623a41b6e8bf98a52b4,1832c08bba48a37868d4093259e8c288,5b7ce8c2b0fe4c2f52a0763046914ef4,9d12ef1a7eca3ec58c545c678af7869c,2018-10-31 19:17:57,home_decor,offline,cat,,True,,reseller,120.0,60000.0
6456e5e81dd87446f811df77548e6a6b,76e8c36299440e255379b5fa7f03f272,45749fb708130f78d0db07d8d80f030b,34d40cdaf94010a1d05b0d6212f9e909,2018-09-20 17:13:05,food_drink,offline,"cat, wolf",True,True,,reseller,50.0,10000.0
058172f0764ed2bfad2c7aa7cb9ae15f,8c818d927ba4145304edccf74293f8b6,b90f87164b5f8c2cfa5c8572834dbe3f,34d40cdaf94010a1d05b0d6212f9e909,2018-10-29 14:54:02,household_utilities,industry,eagle,,,,manufacturer,20.0,5000.0
3d2c7bb8be9ea80c1477b6778fbd2cf6,bd585fa4d871cd7600ec8a2b90c57a4e,f42a2bd194f7802ab052a815c8de65b7,9d12ef1a7eca3ec58c545c678af7869c,2018-09-26 11:48:53,car_accessories,online_medium,"cat, wolf",True,True,,reseller,700.0,50000.0
9dde4d7713ae64986ab6f5c9f9cf94d3,c33e6d3ad32fd5bec1b0f2522f668213,19f3cd308f1455b3fa09a282e0d496f4,a8387c01a09e99ce014107505b92388c,2018-11-09 20:06:38,other,other,cat,,,,other,100.0,500000.0
33ce1e734d9d50629fa2c36769285d53,53be10ff134691e94a4089b41c75874f,2b63542749aa9caf15f21816da1db341,d3d1e91a157ea7f90548eef82f1955e3,2018-09-11 13:14:37,construction_tools_house_garden,online_small,wolf,True,True,,reseller,400.0,130000.0
b4abf3d319afe2544a5dd0966141ef10,876300c1c122f7fafd3ba74a478221f4,323cff2ceea1814239bc2c7e614d260d,068066e24f0c643eb1d089c7dd20cd73,2018-08-17 03:00:00,audio_video_electronics,online_medium,cat,True,,,reseller,2.0,20000.0
cb0f32260247ecac66b2954d6320f6be,7e165d0fd266781dbf944faf150e265b,de63de0d10a6012430098db33c679b0b,d3d1e91a157ea7f90548eef82f1955e3,2018-09-10 18:10:00,home_decor,online_big,wolf,True,True,,manufacturer,550.0,120000.0
ce721edac2d10ef0b2ee26c40924d7a5,710b15ab273348b3db04d636937061c3,b1b3ec93fc27a19fdb1c1b1fc997776a,6aa3b86a83d784b05f0e37e26b20860d,2018-11-06 19:41:39,household_utilities,online_medium,"cat, wolf",True,True,,reseller,50.0,8000.0
7720c6892d447539b71d8bd9e4d1ef60,3786da2e9afd5d55617521bd1685dec0,f42a2bd194f7802ab052a815c8de65b7,a8387c01a09e99ce014107505b92388c,2018-10-01 17:47:09,toys,online_medium,"eagle, cat",True,True,,reseller,300.0,25000.0
a57bf18e19b6b17e3d4fbc20561e2055,2a17b229ca84523393b003b7e0bfae63,f42a2bd194f7802ab052a815c8de65b7,9d12ef1a7eca3ec58c545c678af7869c,2018-08-20 14:41:13,toys,online_small,"eagle, cat",True,False,,manufacturer,100.0,50000.0
d5cb61eef98bd237e41bc2225263f823,7e1f0755f1c75e301dfa37c21fd01efe,e4a6222cdb5b34375400904f03d8e6a5,34d40cdaf94010a1d05b0d6212f9e909,2018-11-12 19:17:25,other,other,"eagle, wolf",True,True,,other,305.0,120000.0
3223fed48f30bbdc0f6040b466516bcb,0d7d5bca59d45d750fb7913b974e9d08,068066e24f0c643eb1d089c7dd20cd73,9749123c950bf8363ace42cb1c2d0815,2018-10-30 11:54:22,construction_tools_house_garden,online_big,shark,True,True,,manufacturer,10.0,250000.0
8723201570415eb23b4f095d8c20a27c,4a82eab98441aeb64566e2776c1fb2b6,370c9f455f93a9a96cbe9bea48e70033,4b339f9567d060bcea4f5136b9f5949e,2018-09-27 18:58:41,construction_tools_house_garden,online_big,wolf,,,,reseller,132.0,200000.0
